Name,Zone,Level,Classification,Type,Movement,Notes/Abilities,Commands
Borelgore,Eastern Plaguelands,61,Elite,Beast,Slow Patrol,Kiteable; painful poison dot/aoe if close,".line Eastern Plaguelands,54.48,31.82,55.13,31.80,55.60,31.78,55.86,31.25,56.31,31.15,56.66,31.78,57.17,31.83,57.85,32.03,58.49,32.34,59.34,32.12,59.99,31.95,60.58,31.87,61.13,32.27,61.79,32.98,62.57,33.31,63.17,34.09,63.67,34.56,64.29,34.89;.mob Borelgore"
Demetria,Eastern Plaguelands,61,Elite,Humanoid,Slow Patrol,Quest mob; patrols Stratholme (Live) to Tyr's Hand with 9-10 non-elite bodyguards and lingers if not slain,".line Eastern Plaguelands,30.85,20.06,30.95,21.06,31.04,23.39,31.57,25.91,32.01,26.80,32.95,28.02,33.41,28.57,34.29,29.10,35.77,29.43,37.58,29.43,38.44,28.76,39.11,28.47,39.55,28.59,40.54,29.23,41.29,29.60,42.77,30.54,43.77,31.05,44.70,31.46,45.79,31.82,46.93,32.53,48.82,33.62,49.73,33.94,50.66,34.26,51.76,34.59,53.33,34.90,55.76,35.46,56.51,35.88,57.60,36.74,58.73,37.92,60.50,40.32,62.25,44.52,63.66,48.15,63.82,49.64,63.71,50.72,63.18,51.91,62.64,53.60,62.46,56.39,62.75,58.46,63.22,60.47,63.27,62.14,62.96,63.35,62.31,64.95,60.81,67.20,59.92,68.37,60.83,69.91,62.64,71.40,64.19,73.01,65.20,75.50,65.70,76.12,67.44,77.08,68.39,77.46,69.21,77.87,70.67,78.33,71.62,78.48,72.17,78.84,73.78,80.37,76.54,81.80,77.36,81.79,78.12,81.64,79.23,81.65,80.26,81.73,81.02,81.96,81.11,82.39,81.36,82.76,81.74,82.71,82.05,82.30,82.51,82.43,84.75,83.67,85.55,84.17,86.61,85.06,86.52,85.30,86.93,85.65,87.04,85.36,87.57,85.77;.mob Demetria"
Plaguebat,Eastern Plaguelands,53-55,Normal,Beast,Idle,4 sec AoE terrify effect,".pin Eastern Plaguelands,7.6,43.8;.pin Eastern Plaguelands,8.2,50.4;.pin Eastern Plaguelands,11.0,59.6;.pin Eastern Plaguelands,16.6,65.8;.pin Eastern Plaguelands,15.6,78.8;.pin Eastern Plaguelands,21.6,80.8;.pin Eastern Plaguelands,19.8,71.4;.pin Eastern Plaguelands,20.4,66.8;.pin Eastern Plaguelands,22.0,61.4;.pin Eastern Plaguelands,29.2,68.4;.pin Eastern Plaguelands,31.2,64.4;.pin Eastern Plaguelands,32.8,70.8;.pin Eastern Plaguelands,31.6,77.6;.pin Eastern Plaguelands,34.0,81.4;.pin Eastern Plaguelands,42.6,83.4;.pin Eastern Plaguelands,44.2,75.0;.pin Eastern Plaguelands,43.8,66.4;.pin Eastern Plaguelands,48.0,78.4;.pin Eastern Plaguelands,51.4,78.0;.pin Eastern Plaguelands,56.8,75.6;.pin Eastern Plaguelands,57.8,83.8;.pin Eastern Plaguelands,64.0,84.8;.pin Eastern Plaguelands,65.2,77.6;.pin Eastern Plaguelands,70.0,81.6;.pin Eastern Plaguelands,73.6,84.0;.mob Plaguebat"
Unseen Servant,Eastern Plaguelands,55-56,Normal,Undead,Idle,"Invisible patrol, sees through stealth",".pin Eastern Plaguelands,58.6,71.0;.pin Eastern Plaguelands,58.0,66.2;.pin Eastern Plaguelands,62.1,68.9;.mob Unseen Servant"
Eyeless Watcher,Eastern Plaguelands,57-58,Normal,Undead,Idle,"Invisible patrol, sees through stealth",".pin Eastern Plaguelands,81.8,45.8;.pin Eastern Plaguelands,86.2,40.8;.pin Eastern Plaguelands,41.8,54.1;.pin Eastern Plaguelands,41.7,48.8;.pin Eastern Plaguelands,38.1,50.5;.pin Eastern Plaguelands,34.6,61.2;.pin Eastern Plaguelands,69.9,30.5;.pin Eastern Plaguelands,72.4,31.4;.pin Eastern Plaguelands,74.0,34.0.mob Unseen Servant"
Crimson Bodyguard,Eastern Plaguelands,57-58,Elite,Humanoid,Slow Patrol,"Four accompany the Crimson Courier; charges, knocks back, and disarms",".line Eastern Plaguelands,30.85,20.06,30.95,21.06,31.04,23.39,31.57,25.91,32.01,26.80,32.95,28.02,33.41,28.57,34.29,29.10,35.77,29.43,37.58,29.43,38.44,28.76,39.11,28.47,39.55,28.59,40.54,29.23,41.29,29.60,42.77,30.54,43.77,31.05,44.70,31.46,45.79,31.82,46.93,32.53,48.82,33.62,49.73,33.94,50.66,34.26,51.76,34.59,53.33,34.90,55.76,35.46,56.51,35.88,57.60,36.74,58.73,37.92,60.50,40.32,62.25,44.52,63.66,48.15,63.82,49.64,63.71,50.72,63.18,51.91,62.64,53.60,62.46,56.39,62.75,58.46,63.22,60.47,63.27,62.14,62.96,63.35,62.31,64.95,60.81,67.20,59.92,68.37,60.83,69.91,62.64,71.40,64.19,73.01,65.20,75.50,65.70,76.12,67.44,77.08,68.39,77.46,69.21,77.87,70.67,78.33,71.62,78.48,72.17,78.84,73.78,80.37,76.54,81.80,77.36,81.79,78.12,81.64,79.23,81.65,80.26,81.73,81.02,81.96,81.11,82.39,81.36,82.76,81.74,82.71,82.05,82.30,82.51,82.43,84.75,83.67,85.55,84.17,86.61,85.06,86.52,85.30,86.93,85.65,87.04,85.36,87.57,85.77;.mob Crimson Bodyguard"
Mossflayer Scout,Eastern Plaguelands,57-58,Normal,Humanoid,Slow Patrol,Immediately runs for help/aggros other mobs,".line Eastern Plaguelands,69.46,19.72,69.83,19.39,70.31,18.60,70.88,18.83,71.69,18.87,71.82,18.39,72.66,18.56;.mob Mossflayer Scout"
Mossflayer Scout,Eastern Plaguelands,57-58,Normal,Humanoid,Slow Patrol,Immediately runs for help/aggros other mobs,".line Eastern Plaguelands,70.07,15.50,69.73,16.16,69.56,17.04,69.11,17.94,68.90,19.82,68.88,20.70;.mob Mossflayer Scout"
Mossflayer Scout,Eastern Plaguelands,57-58,Normal,Humanoid,Slow Patrol,Immediately runs for help/aggros other mobs,".line Eastern Plaguelands,69.30,19.71,68.77,20.12,68.38,21.13,67.08,21.52,66.60,21.41,65.18,21.74,64.78,21.79,64.31,22.10;.mob Mossflayer Scout"
Infected Mossflayer,Eastern Plaguelands,57-58,Normal,Undead,Idle,"Stuns, spawn if player gets near graves",".pin Eastern Plaguelands,69.0,20.4;.pin Eastern Plaguelands,68.4,17.4;.pin Eastern Plaguelands,71.2,15.4;.pin Eastern Plaguelands,70.6,18.8;.mob Infected Mossflayer"
Spirit of Trey Lightforge,Felwood,53,Elite,Humanoid,Idle,"Spawns at the end of Rescue from Jaedenar, doable but maybe instructions needed",".pin Felwood,35.6,59.0;.mob Spirit of Trey Lightforge"
Dessecus,Felwood,56,Rare Elite,Elemental,Idle,Basic elite. Has a lightning cloud,".pin Felwood,58.2,17.8;.mob Dessecus"
Immolatus,Felwood,56,Rare Elite,Demon,Slow Patrol,Big knockback,".line Felwood,43.58,37.98,44.28,38.39,45.41,38.11,46.07,39.25,45.62,40.58,45.53,42.01,44.47,42.77,43.72,42.87;.mob Immolatus"
Lord Banehollow,Felwood,59,Elite,Demon,Idle,"Curse of Thorns, Shadow Shock (instant, high damage)",".pin Felwood,36.0,44.6;.mob Lord Banehollow"
Jadefire Shadowstalker,Felwood,51-52,Normal,Demon,Idle,Stealth mobs with fire shield/thorns,".pin Felwood,32.2,66.0;.pin Felwood,33.6,66.6;.pin Felwood,36.4,66.8;.pin Felwood,37.6,66.6;.pin Felwood,38.4,69.6;.mob Jadefire Shadowstalker"
Infernal Bodyguard,Felwood,53-54,Elite,Elemental,Idle,Big knockback,".pin Felwood,39.2,43.4;.pin Felwood,39.0,37.8;.pin Felwood,41.8,38.2;.pin Felwood,42.6,43.6;.pin Felwood,44.6,43.0;.pin Felwood,46.6,40.2;.pin Felwood,45.6,37.0;.pin Felwood,48.6,37.2;.pin Felwood,44.4,47.0;.mob Infernal Bodyguard"
Edana Hatetalon,Feralas,50,Elite,Humanoid,Idle,Quest mob,".pin Feralas,40.6,8.6;.mob Edana Hatetalon"
Sea Spray,Feralas,47-48,Normal,Elemental,Idle,"Geyser hits very hard, knocks far back, and slows",".pin Feralas,34.4,33.4;.pin Feralas,35.6,35.8;.pin Feralas,37.0,35.8;.pin Feralas,38.2,33.6;.pin Feralas,40.2,37.6;.pin Feralas,42.0,39.2;.pin Feralas,44.6,38.8;.pin Feralas,44.8,46.2;.pin Feralas,44.6,49.8;.pin Feralas,45.8,52.2;.pin Feralas,47.6,50.8;.pin Feralas,48.6,48.2;.pin Feralas,49.8,51.8;.pin Feralas,46.8,54.8;.pin Feralas,47.0,59.6;.pin Feralas,46.6,63.6;.pin Feralas,45.8,66.2;.mob Sea Spray"
Northspring Slayer,Feralas,49-50,Normal,Humanoid,Idle,Execute mobs,".pin Feralas,39.8,10.2;.pin Feralas,41.6,12.0;.pin Feralas,39.6,14.6;.pin Feralas,38.2,15.6;.pin Feralas,37.4,12.4;.pin Feralas,39.0,13.2;.mob Northspring Slayer"
Blacksmith Verringtan,Hillsbrad Foothills,26,Normal,Humanoid,Idle,Double pulls in a crowded area/hyperspawn,".pin Hillsbrad Foothills,32.6,46.8;.mob Blacksmith Verringtan"
Foreman Bonds,Hillsbrad Foothills,30,Normal,Humanoid,Idle,Summons 2 adds around 30-40% hp,".pin Hillsbrad Foothills,31.0,56.2;.mob Foreman Bonds"
Hillsbrad Footman,Hillsbrad Foothills,25-26,Normal,Humanoid,Idle,Has high block ability/shield bash,".pin Hillsbrad Foothills,30.2,42.2;.pin Hillsbrad Foothills,33.0,38.0;.pin Hillsbrad Foothills,34.6,47.6;.pin Hillsbrad Foothills,37.2,46.4;.mob Hillsbrad Footman"
Gammerita,The Hinterlands,48,Elite,Beast,Slow Patrol,"Hits hard, reduces armor, patrols coast",".line The Hinterlands,81.95,49.41,81.21,52.91,81.98,54.30,81.97,56.42,80.77,58.37,80.34,59.40,79.45,60.76,78.69,61.39,76.86,62.73,75.91,63.81,75.29,65.60,76.72,66.85,78.53,67.51,78.60,68.97,77.90,70.97,76.71,71.26,76.52,72.95,77.07,74.64;.mob Gammerita"
Retherokk the Berserker,The Hinterlands,48,Rare,Humanoid,Idle,Enrage and Thrash,".pin The Hinterlands,50.8,62.6;.mob Retherokk the Berserker"
Vilebranch Kidnapper,The Hinterlands,49,Normal,Humanoid,Idle,3 spawn on Lard Lost His Lunch; executes,".pin The Hinterlands,84.4,40.9;.mob Vilebranch Kidnapper"
Grimungous,The Hinterlands,50,Rare Elite,Giant,Slow Patrol,5 second aoe stun,".line The Hinterlands,70.26,52.47,69.32,52.28,68.77,51.89,68.54,51.59,68.24,50.31,68.05,48.59,67.21,48.03,66.21,47.91,65.82,48.76,65.17,48.43,64.31,47.29,63.88,48.42,64.20,49.38,64.45,50.15,64.73,51.15,64.90,51.56,65.49,51.70,65.75,52.88,65.76,53.56,65.81,54.12,65.34,54.90,65.47,56.27,65.80,57.20,66.91,57.14,67.93,57.70,68.40,58.99,68.55,59.85,69.30,60.49,70.78,59.00,71.59,58.63,72.21,58.77,72.49,58.93,72.90,58.34,73.00,57.08,73.38,56.03,74.22,55.21,75.03,55.45,75.41,55.23,75.99,55.04,76.24,53.76,76.54,52.72,77.21,51.26,77.00,50.46,76.34,49.67,75.28,49.38,74.45,49.44,74.00,50.40,73.21,50.76,72.93,52.85,72.50,53.47,72.06,53.30,71.66,53.05,71.61,52.84,71.03,53.21,70.26,52.47;.mob Grimungous"
Vilebranch Scalper,The Hinterlands,46-47,Normal,Humanoid,Idle,Executes,".pin The Hinterlands,48.2,66.3;.pin The Hinterlands,53.4,40.6;.pin The Hinterlands,67.2,45.6;.pin The Hinterlands,72.6,48.8;.mob Vilebranch Scalper"
Vilebranch Ambusher,The Hinterlands,47-48,Normal,Humanoid,Idle,"Has execute, 3 spawn during chicken escort",".pin The Hinterlands,69.6,62.4;.mob Vilebranch Ambusher"
Sister Hatelash,Mulgore,11,Rare Elite,Humanoid,Idle,Painful lightning shield,".pin Mulgore,53.8,13.8;.pin Mulgore,55.6,11.6;.pin Mulgore,54.4,9.4;.pin Mulgore,36.0,10.0;.pin Mulgore,37.2,12.6;.pin Mulgore,30.4,20.8;.pin Mulgore,30.4,23.6;.pin Mulgore,31.8,20.8;.mob Sister Hatelash"
Arra'chea,Mulgore,11,Normal,Beast,Slow Patrol,"High hp, has a stun",".line Mulgore,50.58,24.63,50.08,23.19,49.29,19.68,49.15,18.53,49.22,18.33,49.08,17.15,49.10,16.36,49.24,15.43,49.54,14.74,50.35,13.48,50.57,13.02,50.94,12.51,51.82,11.83,52.13,11.88,52.61,12.50,52.83,13.10,53.16,15.01,53.54,15.61,53.64,16.07,54.48,19.77,54.09,21.27,54.05,21.43,53.96,22.60,54.09,23.39,54.96,26.06,55.23,28.06,55.19,30.82,55.15,31.14,54.96,31.83,54.83,32.06,54.48,32.26,53.35,32.25,53.06,32.21,52.14,31.43,52.29,30.24,52.38,30.15,52.06,27.92,51.41,26.28,51.09,26.00,51.00,25.61,50.58,24.63;.mob Arra'chea"
Supervisor Fizsprocket ,Mulgore,12,Normal,Humanoid,Idle,easily double-pulled,".pin Mulgore,64.6,43.6;.mob Supervisor Fizsprocket"
Galak Centaur,Mulgore,8-9,Normal,Humanoid,Slow Patrol,Double mob patrol in South-East Mulgore,".line Mulgore,68.68,62.29,68.50,62.43,68.12,62.63,67.80,63.44,67.32,63.64,67.06,63.82,66.83,64.28,66.19,64.74,65.60,64.79,64.37,65.80,63.40,65.78,62.89,65.98,62.54,66.49,62.40,66.59;.mob Galak Centaur"
Galak Centaur,Mulgore,8-9,Normal,Humanoid,Slow Patrol,Double mob patrol in South-East Mulgore,".line Mulgore,68.22,58.09,67.83,58.37,67.53,58.57,67.37,59.25,66.81,59.86,65.94,59.93,64.58,60.51,62.97,59.65,62.17,58.92,61.74,59.40,61.59,60.25,61.66,60.84,62.25,61.38;.mob Galak Centaur"
Galak Outrunner,Mulgore,9-10,Normal,Humanoid,Slow Patrol,Double mob patrol in South-East Mulgore,".line Mulgore,68.68,62.29,68.50,62.43,68.12,62.63,67.80,63.44,67.32,63.64,67.06,63.82,66.83,64.28,66.19,64.74,65.60,64.79,64.37,65.80,63.40,65.78,62.89,65.98,62.54,66.49,62.40,66.59;.mob Galak Outrunner"
Galak Outrunner,Mulgore,9-10,Normal,Humanoid,Slow Patrol,Double mob patrol in South-East Mulgore,".line Mulgore,61.83,56.63,62.48,56.91,62.88,57.02,63.40,58.04,64.01,58.62,64.62,58.55,65.43,58.25,66.02,57.57,66.85,57.01;.mob Galak Outrunner"
Dark Iron Sentry,Searing Gorge,48,Elite,Humanoid,Idle,Sees through stealth,".pin Searing Gorge,42.0,35.4;.pin Searing Gorge,34.2,54.0;.pin Searing Gorge,36.6,60.0;.pin Searing Gorge,43.4,62.0;.pin Searing Gorge,49.4,55.8;.mob Dark Iron Sentry"
Twilight Dark Shaman,Searing Gorge,47-48,Elite,Humanoid,Idle,Painful shock/heals,".pin Searing Gorge,18.6,35.4;.pin Searing Gorge,22.0,36.6;.pin Searing Gorge,23.6,41.2;.pin Searing Gorge,23.6,36.0;.pin Searing Gorge,26.6,34.6;.pin Searing Gorge,25.0,39.6;.mob Twilight Dark Shaman"
Twilight Fire Guard,Searing Gorge,48-49,Elite,Humanoid,Idle,AoE fireball,".pin Searing Gorge,18.6,35.4;.pin Searing Gorge,22.0,36.6;.pin Searing Gorge,23.6,41.2;.pin Searing Gorge,23.6,36.0;.pin Searing Gorge,26.6,34.6;.pin Searing Gorge,25.0,39.6;.pin Searing Gorge,25.8,29.6;.pin Searing Gorge,23.6,27.4;.pin Searing Gorge,27.8,25.0;.pin Searing Gorge,30.6,26.4;.mob Twilight Fire Guard"
Twilight Geomancer,Searing Gorge,49-50,Elite,Humanoid,Idle,Rain of Fire,".pin Searing Gorge,25.8,29.6;.pin Searing Gorge,23.6,27.4;.pin Searing Gorge,27.8,25.0;.pin Searing Gorge,30.6,26.4;.pin Searing Gorge,16.2,33.6;.pin Searing Gorge,13.6,42.6;.pin Searing Gorge,17.6,43.8;.mob Twilight Geomancer"
Overseer Maltorius,Searing Gorge,49-50,Elite,Humanoid,Idle,"1-2 adds, ~300 damage shadow bolt",".pin Searing Gorge,41.0,35.4;.mob Overseer Maltorius"
Twilight Idolater,Searing Gorge,49-51,Elite,Humanoid,Idle,Nets,".pin Searing Gorge,27.4,26.0;.pin Searing Gorge,29.6,26.6;.mob Twilight Idolater"
Krellack,Silithus,56,Rare,Beast,Idle,"""fatal sting"" is an execute with a dot effect",".pin Silithus,65.80,30.32;.mob Krellack"
Rex Ashil,Silithus,57,Rare Elite,Beast,Slow Patrol,-75% armor debuff,".line Silithus,46.39,22.42,46.77,22.19,46.96,23.19,47.40,23.84,48.01,24.22,48.10,24.87,47.44,25.70,47.43,26.41,47.66,26.81,47.41,27.51,46.83,27.18,46.25,27.81,46.11,28.15,46.25,28.68,46.05,28.95,45.64,28.97;.mob Rex Ashil"
Deathclasp,Silithus,59,Elite,Beast,Idle,"8 second stun (poison, no dot)",".pin Silithus,44.03,90.28;.mob Deathclasp"
Zora,Silithus,59,Rare Elite,Beast,Idle,Patrols around many adds,".pin Silithus,18.2,69.6;.pin Silithus,20.0,65.4;.pin Silithus,19.2,56.2;.pin Silithus,21.0,58.8;.pin Silithus,23.6,62.6;.pin Silithus,24.0,71.2;.pin Silithus,26.6,58.8;.pin Silithus,26.6,56.4;.mob Zora"
Twilight Keeper Mayna,Silithus,60,Normal,Humanoid,Slow Patrol,"Fear, dot, mind flay in crowded camp",".line Silithus,27.04,35.62,26.72,35.85,26.53,36.18,26.45,36.55,26.06,37.09;.mob Twilight Keeper Mayna"
The Windreaver,Silithus,60,Elite,Elemental,Slow Patrol,"Many adds; chain lightning, shock, lightning cloud, cyclone",".line Silithus,24.49,28.14,23.77,27.52,23.07,27.69,22.19,28.42,21.08,28.95,20.20,29.03,19.56,28.59,19.11,27.40,18.92,26.32,18.31,23.16,18.81,22.10,19.74,21.84,20.48,22.26,21.00,24.14,21.11,25.10,21.36,25.91,21.94,26.68,23.76,27.37,24.93,27.86,25.64,27.88,26.90,26.85,27.75,26.62,28.59,26.25,29.38,25.34,29.58,24.44,29.62,23.56,29.52,21.89,29.77,20.09,29.67,18.65,29.49,17.70,29.03,16.72,28.94,15.60,29.28,14.98,30.02,14.83,30.48,14.83,32.16,14.35,32.96,14.45,33.55,15.25,33.61,16.41,33.10,18.01,32.16,19.34,31.66,20.49,31.01,21.23,29.76,26.12,28.62,28.47,27.95,29.22,27.44,29.57,26.69,29.50,24.99,28.56,24.49,28.14;.mob The Windreaver"
Twilight Prophet,Silithus,60,Elite,Humanoid,Slow Patrol,"Multiple adds; fire nova, frost nova, chain lightning, fear",".line Silithus,20.00,83.28,22.00,79.02,25.23,77.02,25.82,75.72,26.51,75.19,27.31,74.15,27.37,72.44,26.91,71.37,25.69,70.84,24.93,69.98,23.95,69.24,23.47,68.65,23.16,68.66,22.86,68.52;.mob Twilight Prophet"
Twilight Marauder Morna,Silithus,60,Elite,Humanoid,Slow Patrol,Has 4 adds; mortal strikes and piercing howls,".line Silithus,52.35,11.78,52.94,14.46,55.73,17.11,58.41,20.25,60.31,23.07,63.43,27.06,63.35,30.35,71.46,35.72,72.84,37.69,72.09,39.87,70.25,42.40,68.64,45.43,65.44,46.71,63.89,47.98,63.38,50.82,61.29,53.70,60.40,55.68,59.69,56.33,58.17,58.60,56.24,62.76,50.85,66.67,49.42,69.19,37.12,84.28,34.63,84.32,30.18,88.44,30.11,89.76,29.05,93.14,28.92,95.64;.mob Twilight Marauder Morna"
Lapress,Silithus,60,Rare Elite,Beast,Slow Patrol,Patrols around many adds,".line Silithus,53.62,71.45,54.32,72.97,55.26,72.34,55.78,71.57,57.79,72.33,58.59,72.01,59.13,71.83,59.06,73.16,58.14,74.38,56.63,75.37,55.94,74.85,55.17,75.03,54.26,75.62,52.08,75.65,51.53,76.53,51.63,77.70,52.24,78.70,54.02,78.93,54.51,78.05,55.08,77.41,56.37,77.13,57.07,76.16,58.23,76.49,58.98,76.06,60.62,75.76,60.70,77.18,60.18,78.22,59.70,78.68,58.83,78.27,57.94,78.32,57.31,78.78,57.09,79.89,56.38,77.10,57.06,76.14,58.32,76.49,59.08,76.01,60.61,75.76,60.69,77.32,59.94,78.58,59.58,78.67,58.82,78.27,57.95,78.32,57.26,78.83,57.07,79.93,56.25,80.46,56.20,81.38,54.48,81.52,53.65,81.26,53.03,80.18,52.26,79.94,51.51,79.81,51.32,81.48,51.47,83.31,52.41,82.66,54.33,83.12,54.62,84.08,54.06,85.52,53.83,86.55,53.82,87.80,54.54,88.98,55.31,89.77,56.05,90.31,56.48,90.99,57.35,91.27,58.16,91.51,58.43,91.44,58.92,91.08,59.10,90.24,60.16,87.53,60.54,87.50,61.27,85.15,61.52,83.93,61.00,83.46,60.84,81.40,60.87,79.75,61.07,79.16,61.78,78.48,62.38,78.26,62.91,78.78,64.60,80.16,64.85,81.57,64.43,82.79,63.78,83.84,61.92,85.70,61.79,87.60,62.53,88.52,63.04,89.85,62.92,91.19,63.08,92.97,62.97,93.80;.mob Lapress"
Mistress Natalia Maralith,Silithus,62,Elite,Humanoid,Idle,"Mind controls even if solo, then heals to full via reset (drags MCed players into many mobs deep in the cave)",".pin Silithus,51.8,99.4;.pin Silithus,53.6,98.0;.pin Silithus,53.8,95.2;.pin Silithus,52.6,91.6;.pin Silithus,52.2,89.8;.pin Silithus,53.8,88.2;.pin Silithus,55.8,87.2;.mob Mistress Natalia Maralith"
Tortured Druid,Silithus,55-56,Normal,Undead,Idle,summons 2-3 silithid near death,".pin Silithus,66.0,49.6;.pin Silithus,63.8,47.2;.pin Silithus,60.8,49.6;.pin Silithus,58.6,52.6;.pin Silithus,58.8,55.8;.pin Silithus,61.6,58.4;.pin Silithus,65.0,58.4;.pin Silithus,61.6,54.0;.pin Silithus,62.8,51.8;.mob Tortured Druid"
Tortured Sentinel,Silithus,55-56,Normal,Undead,Idle,summons 2-3 silithid near death,".pin Silithus,66.0,49.6;.pin Silithus,63.8,47.2;.pin Silithus,60.8,49.6;.pin Silithus,58.6,52.6;.pin Silithus,58.8,55.8;.pin Silithus,61.6,58.4;.pin Silithus,65.0,58.4;.pin Silithus,61.6,54.0;.pin Silithus,62.8,51.8;.mob Tortured Sentinel"
Hive'Ashi Ambusher,Silithus,56-57,Normal,Uncategorized,Idle,3-4 spawn upon entering/ascending the village tower,".pin Silithus,60.2,52.6;.mob Hive'Ashi Ambusher"
Nightlash,Silverpine Forest,14,Normal,Undead,Idle,DoT and drains life,".pin Silverpine Forest,45.9,21.6;.mob Nightlash"
Krethis Shadowspinner,Silverpine Forest,15,Rare,Beast,Idle,"Shadow shock (15 second CD tons of damage), shadow shield",".pin Silverpine Forest,37.5,15.6;.pin Silverpine Forest,34.9,11.0;.mob Krethis Shadowspinner"
Dalaran Spellscribe,Silverpine Forest,21,Normal,Humanoid,Idle,"Freeze, ice armor, painful frostbolt, adds around",".pin Silverpine Forest,63.4,65.6;.mob Dalaran Spellscribe"
Son of Arugal,Silverpine Forest,25,Elite,Humanoid,Idle,"Overleveled, runs fast, has a long-lasting but slow-proccing curse",".pin Silverpine Forest,47.41,33.49;.mob Son of Arugal"
Son of Arugal,Silverpine Forest,25,Elite,Humanoid,Slow Patrol,"Overleveled, runs fast, has a long-lasting but slow-proccing curse",".line Silverpine Forest,43.89,28.86,42.82,29.52,42.19,30.35,41.44,30.19,39.82,29.59,39.30,28.28,39.27,26.85,37.25,24.08,36.82,22.82,36.48,19.83,35.58,18.49,35.30,17.53,35.74,16.74,36.79,16.69,37.64,15.48,38.24,15.12,38.86,15.38,39.18,14.22,40.30,15.98,40.64,18.01,41.48,19.46,42.13,21.46,43.13,20.33,43.85,19.82,44.21,18.71,44.31,17.63,44.67,17.06,45.63,17.21,46.51,17.95,48.79,21.40,49.47,24.67,48.70,25.50,48.01,25.58,47.56,24.96,46.61,25.54,46.26,28.26,46.01,28.84,43.89,28.86;.mob Son of Arugal"
Son of Arugal,Silverpine Forest,25,Elite,Humanoid,Slow Patrol,"Overleveled, runs fast, has a long-lasting but slow-proccing curse",".line Silverpine Forest,53.31,76.14,52.20,75.40,51.81,74.45,50.69,73.88,50.24,75.07,49.63,75.44,48.00,75.32,47.31,77.46,46.58,76.60,45.61,76.13,45.04,76.42,44.37,77.40,44.14,78.56,44.71,79.39,45.25,79.43,45.47,78.94,45.14,80.98,45.64,81.75,45.46,82.95,46.30,83.17,46.95,83.77,47.13,83.77,48.23,84.60,49.15,84.27,49.79,83.60;.mob Son of Arugal"
Rot Hide Mystic,Silverpine Forest,12-13,Normal,Humanoid,Idle,"Healing mobs, easily double pulled",".pin Silverpine Forest,44.0,21.0;.pin Silverpine Forest,44.8,23.2;.pin Silverpine Forest,45.4,19.2;.pin Silverpine Forest,47.2,20.4;.mob Rot Hide Mystic"
Moonrage Darksoul ,Silverpine Forest,13-14,Normal,Humanoid,Idle,"Enrage ability at low hp, very high dps",".pin Silverpine Forest,43.2,30.2;.pin Silverpine Forest,55.8,48.6;.pin Silverpine Forest,57.4,44.8;.mob Moonrage Darksoul"
Dalaran Protector,Silverpine Forest,14-15,Normal,Humanoid,Idle,Summons snake adds and easily double pulled in this area,".pin Silverpine Forest,55.6,56.6;.pin Silverpine Forest,55.0,60.8;.pin Silverpine Forest,55.0,67.6;.pin Silverpine Forest,58.0,66.2;.pin Silverpine Forest,57.4,64.2;.pin Silverpine Forest,57.8,61.6;.pin Silverpine Forest,60.4,63.0;.pin Silverpine Forest,62.2,61.4;.pin Silverpine Forest,62.8,71.0;.mob Dalaran mage"
Dalaran Mage,Silverpine Forest,15-16,Normal,Humanoid,Idle,High dps caster and easily double pulled in this area,".pin Silverpine Forest,55.6,56.6;.pin Silverpine Forest,55.0,60.8;.pin Silverpine Forest,55.0,67.6;.pin Silverpine Forest,58.0,66.2;.pin Silverpine Forest,57.4,64.2;.pin Silverpine Forest,57.8,61.6;.pin Silverpine Forest,60.4,63.0;.pin Silverpine Forest,62.2,61.4;.pin Silverpine Forest,62.8,71.0;.mob Dalaran mage"
Besseleth ,Stonetalon Mountains,21,Elite,Beast,Idle,"Webs and poisons, nearby mobs can hyperspawn",".pin Stonetalon Mountains,52.8,72.6;.mob Besseleth"
Taskmaster Whipfang ,Stonetalon Mountains,22,Rare Elite,Humanoid,Idle,"Fears, hits very fast",".pin Stonetalon Mountains,61.6,49.2;.pin Stonetalon Mountains,64.8,48.4;.pin Stonetalon Mountains,64.6,54.6;.pin Stonetalon Mountains,65.0,58.4;.pin Stonetalon Mountains,63.0,57.8;.pin Stonetalon Mountains,61.2,58.4;.pin Stonetalon Mountains,59.4,54.0;.pin Stonetalon Mountains,62.6,56.2;.pin Stonetalon Mountains,61.8,51.6;.mob Taskmaster Whipfang"
Foreman Rigger,Stonetalon Mountains,24,Rare Elite,Humanoid,Idle,Nets,".pin Stonetalon Mountains,69.6,44.4;.pin Stonetalon Mountains,69.2,48.6;.pin Stonetalon Mountains,68.0,54.0;.pin Stonetalon Mountains,65.4,55.4;.pin Stonetalon Mountains,62.8,52.4;.pin Stonetalon Mountains,63.6,47.0;.pin Stonetalon Mountains,66.6,46.8;.pin Stonetalon Mountains,65.6,51.4;.mob Foreman Rigger"
